pick_up,chi-square,v-cramer,LocationID
,0.0,0.0068,226.0
,0.0,0.0025,227.0
,0.5138,0.0003,228.0
,0.0,0.0109,229.0
,0.0,0.0053,230.0
,0.0,0.0164,231.0
,0.0059,0.0015,232.0
,0.0039,0.0015,233.0
,0.0,0.0029,234.0
,0.0,0.0027,235.0
,0.0,0.0258,236.0
,0.0,0.0344,237.0
,0.0,0.0145,238.0
,0.0,0.0135,239.0
,0.1038,0.0009,240.0
,0.0019,0.0016,241.0
,0.1492,0.0008,242.0
,0.0,0.004,243.0
,0.0,0.0054,244.0
,0.233,0.0006,245.0
,0.0,0.0174,246.0
,0.0,0.0044,247.0
,0.4806,0.0004,248.0
,0.0,0.0046,249.0
,0.0154,0.0013,250.0
,0.1468,0.0008,251.0
,0.0025,0.0016,252.0
,0.3941,0.0005,253.0
,0.1799,0.0007,254.0
,0.8175,0.0001,255.0
,0.1498,0.0008,256.0
,0.1511,0.0008,257.0
,0.0015,0.0017,258.0
,0.3415,0.0005,259.0
,0.0,0.0091,260.0
,0.0,0.0125,261.0
,0.0,0.0095,262.0
,0.0,0.0212,263.0
,0.0,0.0088,264.0
,0.0,0.0087,265.0
